"Year","Driver","Strategy","Total Stints","Total Laps"
"2021","VER","SOFT(21) → MEDIUM(19) → HARD(32)","3","72"
"2021","HAM","SOFT(20) → MEDIUM(50) → SOFT(2)","3","72"
"2021","BOT","SOFT(31) → MEDIUM(36) → SOFT(5)","3","72"
"2021","GAS","SOFT(24) → MEDIUM(47)","2","71"
"2021","LEC","SOFT(34) → HARD(37)","2","71"
"2021","ALO","SOFT(33) → MEDIUM(38)","2","71"
"2021","SAI","SOFT(31) → HARD(40)","2","71"
"2021","PER","HARD(8) → MEDIUM(39) → SOFT(24)","3","71"
"2021","OCO","SOFT(31) → MEDIUM(40)","2","71"
"2021","NOR","MEDIUM(42) → HARD(29)","2","71"
"2021","RIC","SOFT(30) → HARD(41)","2","71"
"2021","STR","SOFT(27) → HARD(43)","2","70"
"2021","VET","SOFT(10) → HARD(34) → MEDIUM(26)","3","70"
"2021","GIO","SOFT(27) → MEDIUM(6) → HARD(37)","3","70"
"2021","KUB","MEDIUM(40) → HARD(30)","2","70"
"2021","LAT","MEDIUM(23) → HARD(47)","2","70"
"2021","RUS","MEDIUM(27) → HARD(41) → SOFT(1)","3","69"
"2021","MSC","SOFT(4) → HARD(26) → MEDIUM(39)","3","69"
"2021","TSU","SOFT(31) → MEDIUM(17)","2","48"
"2021","MAZ","MEDIUM(33) → HARD(8)","2","41"
"2022","VER","SOFT(18) → MEDIUM(30) → HARD(8) → SOFT(16)","4","72"
"2022","RUS","MEDIUM(31) → HARD(17) → MEDIUM(9) → SOFT(15)","4","72"
"2022","LEC","SOFT(17) → MEDIUM(28) → HARD(11) → SOFT(16)","4","72"
"2022","HAM","MEDIUM(29) → HARD(19) → MEDIUM(24)","3","72"
"2022","PER","SOFT(14) → MEDIUM(26) → HARD(16) → MEDIUM(16)","4","72"
"2022","ALO","SOFT(12) → HARD(35) → SOFT(25)","3","72"
"2022","NOR","MEDIUM(17) → HARD(30) → SOFT(25)","3","72"
"2022","SAI","SOFT(14) → MEDIUM(29) → HARD(14) → SOFT(15)","4","72"
"2022","OCO","SOFT(18) → HARD(38) → SOFT(16)","3","72"
"2022","STR","SOFT(16) → MEDIUM(22) → HARD(18) → SOFT(16)","4","72"
"2022","GAS","SOFT(11) → MEDIUM(21) → HARD(24) → SOFT(16)","4","72"
"2022","ALB","MEDIUM(42) → HARD(13) → SOFT(17)","3","72"
"2022","MSC","MEDIUM(33) → HARD(14) → SOFT(25)","3","72"
"2022","VET","SOFT(9) → MEDIUM(26) → HARD(13) → SOFT(24)","4","72"
